Time (s),0x0082_Supply_critical  ,,Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),0x0081_IO_can't_initialise  ,,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
,,,3130.9464,1.0,,3130.9444,0,,3130.9446,0.0,,3130.9444,0.0,,3130.9446,0.125,,3130.9444,200,,3130.9464,-0.0625,,3130.9462,115.25,,3130.9444,0.0,,3130.9462,0.0,,3130.9444,0,,3130.9446,0.0,,3130.946,0,,624.6045,0,,3130.946,0.0,,3130.946,1079,,3130.9444,200,,3130.9464,0.0,,3130.9444,527,,3130.946,0.0,,3130.9444,0.0,,3130.9462,0,,3130.9464,0.0,,3130.9444,115.375,,3130.9444,25,,3130.9462,25,,3130.9446,0.0,,3130.9444,0.0,,,,,3130.9464,0.0,,3130.9462,0.0,,3130.946,0,,3130.9464,0.0,,3130.9446,1.33203125,,3130.9464,0.0,,3130.946,1079,,3130.9446,0.0,,3130.9444,527,,3130.9446,0.0,,,,,3130.9464,0.0,,3130.9446,0.0,,
,,,3130.9664,-0.1875,,3130.9644,0,,3130.9646,0.0,,3130.9642,0.0,,3130.9646,-1.9375,,3130.9642,200,,3130.9664,0.0,,3130.9662,115.3125,,3130.9644,0.0,,3130.9662,0.0,,3130.9644,0,,3130.9646,0.0,,3130.966,0,,1201.9366,"0x4682 (0x00 0x00 0x00)",,3130.966,0.0,,3130.966,1079,,3130.9642,200,,3130.9664,0.0,,3130.9642,527,,3130.966,0.0,,3130.9642,0.0,,3130.9662,0,,3130.9664,0.0,,3130.9644,115.4375,,3130.9644,25,,3130.9662,25,,3130.9646,0.0,,3130.9644,0.0,,,,,3130.9664,0.0,,3130.9662,0.0,,3130.966,0,,3130.9664,0.0,,3130.9646,1.30859375,,3130.9664,0.0,,3130.966,1079,,3130.9646,0.0,,3130.9642,527,,3130.9646,0.0,,,,,3130.9664,0.0,,3130.9646,-0.625,,
,,,3130.9864,0.75,,3130.9844,0,,3130.9846,0.0,,3130.9842,0.0,,3130.9846,-0.375,,3130.9842,200,,3130.9864,1.5,,3130.9862,115.1875,,3130.9844,0.0,,3130.9862,0.0,,3130.9844,0,,3130.9846,0.0,,3130.9862,0,,1201.9366,0,,3130.9862,0.0,,3130.9862,1079,,3130.9842,200,,3130.9864,0.0,,3130.9842,527,,3130.9862,0.0,,3130.9842,0.0,,3130.9862,0,,3130.9864,0.0,,3130.9844,115.3125,,3130.9844,25,,3130.9862,25,,3130.9846,0.0,,3130.9844,0.0,,,,,3130.9864,0.0,,3130.9862,0.0,,3130.9862,0,,3130.9864,0.0,,3130.9846,1.32421875,,3130.9864,0.0,,3130.9862,1079,,3130.9846,0.0,,3130.9842,527,,3130.9846,0.0,,,,,3130.9864,0.0,,3130.9846,-0.3125,,
,,,3131.0064,-0.1875,,3131.0044,0,,3131.0046,0.0,,3131.0044,0.0,,3131.0046,-0.375,,3131.0044,200,,3131.0064,0.0,,3131.0062,115.25,,3131.0044,0.0,,3131.0062,0.0,,3131.0044,0,,3131.0046,0.0,,3131.0062,0,,1201.9366,1,,3131.0062,0.0,,3131.0062,1079,,3131.0044,200,,3131.0064,0.0,,3131.0044,527,,3131.0062,0.0,,3131.0044,0.0,,3131.0062,0,,3131.0064,0.0,,3131.0044,115.3125,,3131.0044,25,,3131.0062,25,,3131.0046,0.0,,3131.0044,0.0,,,,,3131.0064,0.0,,3131.0062,0.0,,3131.0062,0,,3131.0064,0.0,,3131.0046,1.28125,,3131.0064,0.0,,3131.0062,1079,,3131.0046,0.0,,3131.0044,527,,3131.0046,0.0,,,,,3131.0064,0.0,,3131.0046,-0.3125,,
,,,3131.0262,0.125,,3131.0246,0,,3131.0246,0.0,,3131.0244,0.0,,3131.0246,-0.375,,3131.0244,200,,3131.0264,0.5,,3131.0258,115.25,,3131.0244,0.0,,3131.0262,0.0,,3131.0246,0,,3131.0246,0.0,,3131.0258,0,,1203.5603,1,,3131.0258,0.0,,3131.0258,1079,,3131.0244,200,,3131.0262,0.0,,3131.0244,527,,3131.0258,0.0,,3131.0244,0.0,,3131.0262,0,,3131.0264,0.0,,3131.0244,115.375,,3131.0244,25,,3131.0258,25,,3131.0246,0.0,,3131.0246,0.0,,,,,3131.0262,0.0,,3131.0258,0.0,,3131.0258,0,,3131.0262,0.0,,3131.0246,1.296875,,3131.0264,0.0,,3131.0258,1079,,3131.0246,0.0,,3131.0244,527,,3131.0246,0.0,,,,,3131.0264,0.0,,3131.0246,-0.875,,
,,,3131.0464,0.6875,,3131.0446,0,,3131.0448,0.0,,3131.0442,0.0,,3131.0448,0.6875,,3131.0442,200,,3131.0466,0.5,,3131.046,115.25,,3131.0442,0.0,,3131.0464,0.0,,3131.0446,0,,3131.0446,0.0,,3131.046,0,,1203.5603,0,,3131.046,0.0,,3131.046,1079,,3131.0442,200,,3131.0464,0.0,,3131.0442,527,,3131.046,0.0,,3131.0442,0.0,,3131.0464,0,,3131.0466,0.0,,3131.0442,115.3125,,3131.0442,25,,3131.046,25,,3131.0446,0.0,,3131.0446,0.0,,,,,3131.0464,0.0,,3131.046,0.0,,3131.046,0,,3131.0464,0.0,,3131.0448,1.296875,,3131.0466,0.0,,3131.046,1079,,3131.0448,0.0,,3131.0442,527,,3131.0446,0.0,,,,,3131.0466,0.0,,3131.0446,0.875,,
,,,3131.0662,-1.375,,3131.0646,0,,3131.0648,0.0,,3131.0642,0.0,,3131.0648,0.125,,3131.0642,200,,3131.0666,0.0,,3131.066,115.1875,,3131.0642,0.0,,3131.0662,0.0,,3131.0646,0,,3131.0646,0.0,,3131.066,0,,2107.3132,"0x4682 (0x00 0x00 0x00)",,3131.066,0.0,,3131.066,1079,,3131.0642,200,,3131.0662,0.0,,3131.0642,527,,3131.066,0.0,,3131.0642,0.0,,3131.0662,0,,3131.0666,0.0,,3131.0642,115.375,,3131.0642,25,,3131.066,25,,3131.0646,0.0,,3131.0646,0.0,,,,,3131.0662,0.0,,3131.066,0.0,,3131.066,0,,3131.0662,0.0,,3131.0648,1.296875,,3131.0666,0.0,,3131.066,1079,,3131.0648,0.0,,3131.0642,527,,3131.0646,0.0,,,,,3131.0666,0.0,,3131.0646,0.5625,,
,,,3131.0866,0.125,,3131.0844,0,,3131.0848,0.0,,3131.0842,0.0,,3131.0848,-0.375,,3131.0842,200,,3131.0866,0.5,,3131.0862,115.25,,3131.0842,0.0,,3131.0862,0.0,,3131.0844,0,,3131.0844,0.0,,3131.086,0,,2107.3132,0,,3131.086,0.0,,3131.086,1079,,3131.0842,200,,3131.0866,0.0,,3131.0842,527,,3131.086,0.0,,3131.0842,0.0,,3131.0862,0,,3131.0866,0.0,,3131.0842,115.3125,,3131.0842,25,,3131.0862,25,,3131.0844,0.0,,3131.0844,0.0,,,,,3131.0866,0.0,,3131.0862,0.0,,3131.086,0,,3131.0866,0.0,,3131.0848,1.28125,,3131.0866,0.0,,3131.086,1079,,3131.0848,0.0,,3131.0842,527,,3131.0844,0.0,,,,,3131.0866,0.0,,3131.0844,-1.5,,
,,,3131.1064,0.4375,,3131.1044,0,,3131.1046,0.0,,3131.1042,0.0,,3131.1046,0.125,,3131.1042,200,,3131.1064,0.0,,3131.1062,115.1875,,3131.1042,0.0,,3131.1062,0.0,,3131.1044,0,,3131.1044,0.0,,3131.106,0,,2107.3132,1,,3131.106,0.0,,3131.106,1079,,3131.1042,200,,3131.1064,0.0,,3131.1042,527,,3131.106,0.0,,3131.1042,0.0,,3131.1062,0,,3131.1064,0.0,,3131.1042,115.3125,,3131.1042,25,,3131.1062,25,,3131.1044,0.0,,3131.1044,0.0,,,,,3131.1064,0.0,,3131.1062,0.0,,3131.106,0,,3131.1064,0.0,,3131.1046,1.2734375,,3131.1064,0.0,,3131.106,1079,,3131.1046,0.0,,3131.1042,527,,3131.1044,0.0,,,,,3131.1064,0.0,,3131.1044,0.0,,
,,,3131.1262,-1.375,,3131.1244,0,,3131.1246,0.0,,3131.1242,0.0,,3131.1246,-0.375,,3131.1242,200,,3131.1262,-1.0625,,3131.126,115.1875,,3131.1244,0.0,,3131.1262,0.0,,3131.1244,0,,3131.1246,0.0,,3131.126,0,,2109.0168,1,,3131.126,0.0,,3131.126,1079,,3131.1242,200,,3131.1262,0.0,,3131.1242,527,,3131.126,0.0,,3131.1242,0.0,,3131.1262,0,,3131.1262,0.0,,3131.1244,115.3125,,3131.1244,25,,3131.126,25,,3131.1246,0.0,,3131.1244,0.0,,,,,3131.1262,0.0,,3131.126,0.0,,3131.126,0,,3131.1262,0.0,,3131.1246,1.26171875,,3131.1262,0.0,,3131.126,1079,,3131.1246,0.0,,3131.1242,527,,3131.1246,0.0,,,,,3131.1262,0.0,,3131.1246,0.25,,
,,,3131.1464,1.3125,,3131.1444,0,,3131.1446,0.0,,3131.1442,0.0,,3131.1446,-0.375,,3131.1442,200,,3131.1464,1.5,,3131.1462,115.25,,3131.1444,0.0,,3131.1462,0.0,,3131.1444,0,,3131.1446,0.0,,3131.1462,0,,2109.0168,0,,3131.1462,0.0,,3131.1462,1079,,3131.1442,200,,3131.1464,0.0,,3131.1442,527,,3131.1462,0.0,,3131.1442,0.0,,3131.1462,0,,3131.1464,0.0,,3131.1444,115.3125,,3131.1444,25,,3131.1462,25,,3131.1446,0.0,,3131.1444,0.0,,,,,3131.1464,0.0,,3131.1462,0.0,,3131.1462,0,,3131.1464,0.0,,3131.1446,1.28125,,3131.1464,0.0,,3131.1462,1079,,3131.1446,0.0,,3131.1442,527,,3131.1446,0.0,,,,,3131.1464,0.0,,3131.1446,-0.3125,,
,,,3131.1664,0.6875,,3131.1644,0,,3131.1646,0.0,,3131.164,0.0,,3131.1646,-0.875,,3131.164,200,,3131.1666,0.5,,3131.1662,115.25,,3131.1644,0.0,,3131.1664,0.0,,3131.1644,0,,3131.1646,0.0,,3131.1662,0,,3162.5568,0,,3131.1662,0.0,,3131.1662,1079,,3131.164,200,,3131.1664,0.0,,3131.164,527,,3131.1662,0.0,,3131.164,0.0,,3131.1664,0,,3131.1666,0.0,,3131.1644,115.375,,3131.1644,25,,3131.1662,25,,3131.1646,0.0,,3131.1644,0.0,,,,,3131.1664,0.0,,3131.1662,0.0,,3131.1662,0,,3131.1664,0.0,,3131.1646,1.2890625,,3131.1666,0.0,,3131.1662,1079,,3131.1646,0.0,,3131.164,527,,3131.1646,0.0,,,,,3131.1666,0.0,,3131.1646,-1.1875,,
,,,3131.1864,0.6875,,3131.1846,0,,3131.1848,0.0,,3131.1844,0.0,,3131.1848,0.125,,3131.1844,200,,3131.1866,0.5,,3131.1862,115.1875,,3131.1844,0.0,,3131.1864,0.0,,3131.1846,0,,3131.1846,0.0,,3131.1862,0,,3335.05,0,,3131.1862,0.0,,3131.1862,1079,,3131.1844,200,,3131.1864,0.0,,3131.1844,527,,3131.1862,0.0,,3131.1844,0.0,,3131.1864,0,,3131.1866,0.0,,3131.1844,115.3125,,3131.1844,26,,3131.1862,25,,3131.1846,0.0,,3131.1846,0.0,,,,,3131.1864,0.0,,3131.1862,0.0,,3131.1862,0,,3131.1864,0.0,,3131.1848,1.296875,,3131.1866,0.0,,3131.1862,1079,,3131.1848,0.0,,3131.1844,527,,3131.1846,0.0,,,,,3131.1866,0.0,,3131.1846,-1.1875,,
,,,3131.206,0.4375,,3131.2042,0,,3131.2046,0.0,,3131.2042,0.0,,3131.2046,-0.3125,,3131.2042,200,,3131.2064,0.5,,3131.2058,115.1875,,3131.2042,0.0,,3131.206,0.0,,3131.2042,0,,3131.2046,0.0,,3131.2058,0,,3501.7964,0,,3131.2058,0.0,,3131.2058,1079,,3131.2042,200,,3131.206,0.0,,3131.2042,527,,3131.2058,0.0,,3131.2042,0.0,,3131.206,0,,3131.2064,0.0,,3131.2042,115.25,,3131.2042,25,,3131.2058,25,,3131.2046,0.0,,3131.2042,0.0,,,,,3131.206,0.0,,3131.2058,0.0,,3131.2058,0,,3131.206,0.0,,3131.2046,1.28125,,3131.2064,0.0,,3131.2058,1079,,3131.2046,0.0,,3131.2042,527,,3131.2046,0.0,,,,,3131.2064,0.0,,3131.2046,-0.375,,
,,,3131.2262,0.125,,3131.2246,0,,3131.2248,0.0,,3131.2242,0.0,,3131.2248,-0.3125,,3131.2242,200,,3131.2266,-0.5625,,3131.226,115.1875,,3131.2242,0.0,,3131.2262,0.0,,3131.2246,0,,3131.2246,0.0,,3131.226,0,,,,,3131.226,0.0,,3131.226,1079,,3131.2242,200,,3131.2262,0.0,,3131.2242,527,,3131.226,0.0,,3131.2242,0.0,,3131.2262,0,,3131.2266,0.0,,3131.2242,115.3125,,3131.2242,25,,3131.226,25,,3131.2246,0.0,,3131.2246,0.0,,,,,3131.2262,0.0,,3131.226,0.0,,3131.226,0,,3131.2262,0.0,,3131.2248,1.28125,,3131.2266,0.0,,3131.226,1079,,3131.2248,0.0,,3131.2242,527,,3131.2246,0.0,,,,,3131.2266,0.0,,3131.2246,-0.375,,
,,,3131.246,0.6875,,3131.2444,0,,3131.2448,0.0,,3131.2442,0.0,,3131.2448,0.6875,,3131.2442,200,,3131.2462,-0.0625,,3131.2458,115.1875,,3131.2442,0.0,,3131.246,0.0,,3131.2444,0,,3131.2444,0.0,,3131.2458,0,,,,,3131.2458,0.0,,3131.2458,1079,,3131.2442,200,,3131.246,0.0,,3131.2442,527,,3131.2458,0.0,,3131.2442,0.0,,3131.246,0,,3131.2462,0.0,,3131.2442,115.3125,,3131.2442,25,,3131.2458,25,,3131.2444,0.0,,3131.2444,0.0,,,,,3131.246,0.0,,3131.2458,0.0,,3131.2458,0,,3131.246,0.0,,3131.2448,1.30859375,,3131.2462,0.0,,3131.2458,1079,,3131.2448,0.0,,3131.2442,527,,3131.2444,0.0,,,,,3131.2462,0.0,,3131.2444,0.8125,,
,,,3131.2662,-0.1875,,3131.2644,0,,3131.2646,0.0,,3131.2642,0.0,,3131.2646,-0.3125,,3131.2642,200,,3131.2664,-1.0625,,3131.266,115.1875,,3131.2642,0.0,,3131.2662,0.0,,3131.2644,0,,3131.2644,0.0,,3131.266,0,,,,,3131.266,0.0,,3131.266,1079,,3131.2642,200,,3131.2662,0.0,,3131.2642,527,,3131.266,0.0,,3131.2642,0.0,,3131.2662,0,,3131.2664,0.0,,3131.2642,115.3125,,3131.2642,25,,3131.266,25,,3131.2644,0.0,,3131.2644,0.0,,,,,3131.2662,0.0,,3131.266,0.0,,3131.266,0,,3131.2662,0.0,,3131.2646,1.32421875,,3131.2664,0.0,,3131.266,1079,,3131.2646,0.0,,3131.2642,527,,3131.2644,0.0,,,,,3131.2664,0.0,,3131.2644,-0.375,,
,,,3131.2862,0.6875,,3131.2844,0,,3131.2846,0.0,,3131.2842,0.0,,3131.2846,-0.875,,3131.2842,200,,3131.2862,0.5,,3131.286,115.1875,,3131.2844,0.0,,3131.286,0.0,,3131.2844,0,,3131.2846,0.0,,3131.2856,0,,,,,3131.2856,0.0,,3131.2856,1079,,3131.2842,200,,3131.2862,0.0,,3131.2842,527,,3131.2856,0.0,,3131.2842,0.0,,3131.286,0,,3131.2862,0.0,,3131.2844,115.4375,,3131.2844,25,,3131.286,25,,3131.2846,0.0,,3131.2844,0.0,,,,,3131.2862,0.0,,3131.286,0.0,,3131.2856,0,,3131.2862,0.0,,3131.2846,1.30859375,,3131.2862,0.0,,3131.2856,1079,,3131.2846,0.0,,3131.2842,527,,3131.2846,0.0,,,,,3131.2862,0.0,,3131.2846,-0.625,,
